MES;SEM;FECHA;Usina;Familia;Tipo  vehiculo;Fabrica;Avance producto;Motor;Caja de velocidades;Trasmision;Version;Num. de Identificacion;Numero de fabricacion;Color;Codigo defecto;Titulo defecto;Comentario defecto;Demerito (pt);Taller;Elementos;;;;;;;;;
8;Sem32;5/8/2019;VP;X52;B52;655;TCT;;;;;655193040078;;;0706-4502;DESBORDAMIENTO MASTICO DE CHAPA-REBATIDO DE PORTON;FG;P2;;DESBORDAMIENTO MASTICO DE CHAPA;;;;;;;B52;X52;VP
8;Sem32;5/8/2019;VP;X52;B52;655;TCT;;;;;655193040078;;;0230-4214;PICO-ALETA  AVD.;ND;P2;;PICO;;;;;;;L52;X52;VP
8;Sem32;5/8/2019;VP;X52;B52;655;TCT;;;;;655193220156;;;0241-4417;PESTAÑA DEFORMADA-MARCO DE PUERTA  ARI.;FG;P2;;PESTAÑA DEFORMADA;;;;;;;F67;X67;VP
8;Sem32;5/8/2019;VU;H60A;H60A;655;TCT;;;;;655193220081;CAJA;;0230-4389;PICO-LADO DE CAJA I.;ND;P2;;PICO;;;;;;;H60A;H60A;VU
8;Sem32;5/8/2019;VP;X52;L52;655;TCT;;;;;655193220040;;;0480-4340;SOLDADURA ESTALLADA-VANO DE PARABRISAS;ND;P2;;SOLDADURA ESTALLADA;;;;;;;BCR;X52;VP
8;Sem32;5/8/2019;VP;X52;L52;655;TCT;;;;;655193220040;;;0241-4514;PESTAÑA DEFORMADA-ALETA ARD.;ND;P2;;PESTAÑA DEFORMADA;;;;;;;K67;X67;VP
8;Sem32;5/8/2019;VP;X52;B52;655;TCP;;;;;655192920016;;;1190-4376;DEPOSITO DE PARTICULAS-ENCUADRAMIENTO DE PUERTA ARD.;ND;P2;;DEPOSITO DE PARTICULAS;;;;;;;;;
8;Sem32;5/8/2019;VP;X52;B52;655;TCP;;;;;655192920016;;;1190-4375;DEPOSITO DE PARTICULAS-ENCUADRAMIENTO DE PUERTA ARI.;ND;P2;;DEPOSITO DE PARTICULAS;;;;;;;;;
8;Sem32;5/8/2019;VP;X52;B52;655;TCP;;;;;655192920022;;;1180-4417;GRANO-MARCO DE PUERTA  ARI.;MR;P2;;GRANO;;;;;;;;;
8;Sem32;5/8/2019;VP;X67;F67;655;TCP;;;;;655192450324;;;4070-4140;OBTURADOR MAL POSICIONADO-PIE AVD./ PIE DE PARABRISAS;MR;P2;;OBTURADOR MAL POSICIONADO;;;;;;;;;
8;Sem32;5/8/2019;VP;X67;F67;655;TCP;;;;;655194110042;;;0210-4415;BOLLOS-MARCO DE PUERTA  AVI.;ND;P2;;BOLLOS;;;;;;;;;
8;Sem32;5/8/2019;VU;H60A;H60A;655;TCP;;;;;655193050227;;;1120-4313;CRATER-TECHO;ND;P2;;CRATER;;;;;;;;;
8;Sem32;5/8/2019;VU;H60A;H60A;655;TCP;;;;;655193230014;;;1170-4119;GOTA-PASO DE RUEDA  ARI./ LADO DE CAJA;ND;P2;;GOTA;;;;;;;;;
8;Sem32;5/8/2019;VU;H60A;H60A;655;TCP;;;;;655193230014;;;0210-4417;BOLLOS-MARCO DE PUERTA  ARI.;MR;P2;;BOLLOS;;;;;;;;;
8;Sem32;6/8/2019;VP;X52;B52;655;TCT;;;;;655193220143;;;0400-4503;ASPECTO JUNTA - CORDON SOLDADURA-GOTERON ENCUADRAMIENTO DE PORTON;ND;P2;Laterales-P1;ASPECTO JUNTA ;;;;;;;;;
8;Sem32;6/8/2019;VP;X52;B52;655;TCT;;;;;655193330093;;;0110-4304;MAL ACOSTAJE-BAJOCAJA D.;FG;P2;Laterales-P1;MAL ACOSTAJE;;;;;;;;;
8;Sem32;6/8/2019;VP;X67;F67;655;TCT;;;;;655193030176;;;0226-4402;CHAPA PREPROTEGIDA PUESTA  AL DESNUDO-PUERTA AVD.;ND;P2;Partes móviles;CHAPA PREPROTEGIDA PUESTA  AL DESNUDO;;;;;;;;;
8;Sem32;6/8/2019;VP;X67;F67;655;TCT;;;;;655193030190;;;0400-4773;ASPECTO JUNTA - CORDON SOLDADURA-CARA INTERNA DE PAÑO LAT  I;FG;P2;Laterales-P1;ASPECTO JUNTA ;;;;;;;;;
8;Sem32;6/8/2019;VU;H60A;H60A;655;TCT;;;;;655193350080;;;0010-4026;SOBRESALE-CAPOT AV./ ALETA  AVD.;FG;P2;Partes móviles;SOBRESALE;;;;;;;;;
