INCIDENTE,INC
***,4952
A COMPROBAR,1836
A DEGRAISSER,1968
A LA INVERSA,0002
ABANDONO DE CICLO,7956
ABRAZADERA  MAL POSICIONADA,4320
ABRAZADERA DEFECTUOSA,1760
ABRAZADERA DETERIORADA,4340
ABRAZADERA FALTA,4330
ABRAZADERA FLOJA,4310
ABRAZADERA MAL CONECTADA,1776
ABRAZADERA MAL POSICIONADA,4320
ABRAZADERA TRASROSCADO,1759
ABSENT,2700
ACCESO DIFICIL,3701
ACTUA MAL,1705
ADHESIVO DESPEGADO,0743
AGARROTAMIENTO,1773
AGRAFE NON CLIPSEE,1969
AGRESIVO,4140
AISLANTE DE CABLEADO DETERIORADO,4220
AISLANTE DE CABLEADO FALTA,4170
AISLANTE DE CABLEADO MAL POSICIONADO,4180
AISLANTE DETERIORADO,5560
AISLANTE MAL POSICIONADO,5540
ALABEADO,7913
ALESAJE NO CONFORME,0003
ALFILER MAL CLIPSADO,0867
ALFILER NO MONTADO,0096
ALOJAMIENTO DE GRAPA DEFORMADO,1732
ALOJAMIENTO DEFORMADO,1727
ALOJAMIENTO FALTA,1728
ALOJAMIENTO OBTURADOR DETERIORADO,1734
ALOJAMIENTO SOLAPADO,1739
ALTURA AL SUELO FUERA DE TOLERANCIA,5220
ALTURA NO CONFORME,0033
AMPOLLAS,1002
AMPOLLAS DE MASTICO DOBLADO,1001
AMPOLLAS DEL MASTICO,1001
AMPOULE GRILLEE,0805
ANCLAJE INCORRECTO,3100
ANCLAJE ROTO,0974
ANGULO DE EMPUJE FUERA TOLERANCIA,7953
ANGULO VOLANTE FUERA TOLERANCIA,7954
ANOMALIA DE CARGA,B092
ANUNCIO DEFECTO SYP,4992
APERTURA INCORRECTA,5230
APLASTADO,0023
APLASTADO - HUNDIDO,2750
APPERAGE NO CONFORME,0728
APPERAGE NO REALIZADO,0729
APRIETE VARILLA COMPENSADOR FRENADO NC,7955
ARA¥AZOS,0205
ARANDELA - SEPARADOR DETERIORADA,4370
ARANDELA DEFECTUOSA,0768
ARANDELA FALTA,1754
ARANDELA MAL CLIPSADA,1722
ARRET CYCLE EXTERIEURS,7867
ARRET CYCLE MDA,7866
ARRET INSTALLATION DYNAMIQUE,7868
ARRUGAS,2850
ARRULLAMIENTO,7520
ASPECT ALUMINIUM,8979
ASPECTO DE SOLD. POR RESISTENCIA,0410
ASPECTO JUNTA - CORDON SOLDADURA,0400
ASPECTO NO CONFORME,0727
ASTILLADO,2350
ATASCADO,0924
ATORNILLADO NO CONFORME,0069
AUREOLA DE LUSTRADO,1440
AUSENCIA DE GRASA,4230
AUTO-ENCENDIDO,6430
AVANCE MAL REGLADO,5900
AVERIA DE INSTALACION,B071
AVERIA INSTALACION HUMEDO,B073
AVERIA INSTALACION PEV,7935
AVERIA INSTALACION SECO,B072
BACHE AL ACELERAR,6590
BAJA DEMASIADO,3210
BANDA DECOR. MAL POSICIONADA,4970
BANDA DECORATIVA DETERIORADA,4980
BANDA DECORATIVA NO CONFORME,4990
BARNIZ CRISTALIZADO,11AJ
BARRILLO,0994
BATIMIENTO,8310
BATIMIENTO AL CIERRE DE PUERTA,8311
BATIMIENTO SIN RUIDO,6210
BIELA AL REVES,0737
BITON A CONTROL MAROUFL,25AA
BITONO RECIRC TONO 1,25AF
BITONO RECIRC TONO 2,25AG
BLANCHISSEMENT,U637
BLISTERING,1100
BLOCAJE INESPERADO,6810
BLOCAJE PREMATURO,6220
BLOQUEADO,0007
BLOQUEADO CALIDAD MONTAJE,1897
BOLLO,0073
BOLLO ( EMBUTICION ),7862
BOLLO DEGRADA PEINT,7920
BOLLO DEGRADA TOLERIE,7919
BOLLOS,0210
BOLLOS ( CHAPA ),1799
BOLLOS ( MONTAJE ),1889
BOLLOS ( PINTURA ),1800
BOUTON MANQUE,7716
BRIDA ROTA,0972
BROCHE MAL FIJADO,0979
BROUILLARD ( PEINTURE ),1915
BRUIT ANORMAL AU DEMARRAGE,7420
BRUTALIDAD,6070
BURBUJAS,1161
BURBUJAS EN MASTICO,1000
BURBUJAS STRIPING,2530
BUTEE DETERIOREE,4855
BUTEE NON SERREE,4856
BUTEE NON-CONFORME,4857
BUTEE PROVISOIRE MANQUE,7717
CABLAGE MONTE A L ENVERS,0803
CABLE / HILO PILLADO,0911
CABLE MAL CLIPSADO,0914
CABLE MAL POSICIONADO,0934
CABLE MASSE NON SERRE,7735
CABLE NO CLIPSADO,0935
CABLE NON SERTI,8974
CABLEADO DEMASIADO CORTO,4572
CABLEADO DEMASIADO LARGO,4573
CABLEADO DETERIORADO,4560
CABLEADO MAL GRAPADO,4550
CABLEADO MAL- NO CONECTADO,4570
CABLEADO MAL POSICIONADO,0970
CABLEADO NO CLIPSADO,0915
CABLEADO NO CONECTADO (FOURN),1872
CABLEADO NO CONFORME,4574
CABLEADO OCULTO,0904
CABLEADO PILLADO,0791
CABLEADO VISIBLE,4540
CABLES CRUZADOS,0981
CAIDA DE AGUA DENTRO HABITACULO O COFRE,9900
CAIDO EN BALANCELA,0771
CALA NO CONFORME,0945
CALADO NO CONFORME,0009
CALAGE IRREGULIER,7763
CALAGE MANQUE,7762
CALIBRACION AVM NC,CA03
CALIBRACION CAMARA NC,CA02
CALIBRACION RADAR NC,CA01
CALIBRATION NC,CA04
CALIDAD DE SONIDO DEFECTUOSA,3330
CAMBIO,0996
CANALIZAC.DE RETORNO MAL POSICIONADA,5970
CAPTEUR MAL AGRAFE,1809
CAPTEUR MAUVAIS CHEMINEMENT,1810
CAPTEUR TROP COURT,1811
CARBURANTE FALTA,0872
CARBURANTE NO CORRESPONDE,0955
CARRERA EXCESIVA,6030
CARRERA INSUFICIENTE,6040
CARRERA PASO DE VEL. MUY LARGA,6780
CARRERA SELECCION DE VEL. MUY LARGA,6790
CARROSSAGE HORS TOLER,795A
CASCARILLA,0995
CASCARILLA B0,11AC
CASCARILLA BISAGRA,11AF
CASSE PLUME INSTALLATION,7861
CASSURE DE TOLE,0213
CASTA¥ETEO,8070
CAUDAL INSUFICIENTE,3510
CAUDAL NO CONFORME,7931
CENTRADOR DESPLAZADO,1749
CENTRADOR MUY LIBRE,1747
CERRADO,1706
CHAPA  AGRESIVA,0280
CHAPA AGRESIVA,0280
CHAPA MANCHADA,0392
CHAPA PREPROTEGIDA PUESTA AL DESNUDO,0226
CHAPA SOLAPADA,1738
CHILLIDO,7200
CLINCH O REMACHE AUSENTE,0413
CLINCH O REMACHE DEFECTUOSO,0414
CLINCH O REMACHE MAL ASPECTO,0411
CLINCH O REMACHE MAL POSICIONADO,0412
CLIP DETERIORADO,0917
CLIP LENGUETA DETERIORADA,4791
CLIP LENGUETA INVERTIDA,4794
