,date,PJI,Codigo,DEMERITO,DPTO,Elemento,Incidente
0,2019-02-11,655190520042,0030-7017,V2,DIVD,7017,0030
1,2019-02-11,655190720028,1270-4513,V2,PINTURA,4513,1270
2,2019-02-11,655190720028,1180-4504,V2,PINTURA,4504,1180
3,2019-02-12,655190610064,2330-7178,V2,MONTAJE,7178,2330
4,2019-02-12,655190610064,1190-4373,V2,PINTURA,4373,1190
5,2019-02-13,655190720047,2240-5689,V2,MONTAJE,5689,2240
6,2019-02-13,655190720055,1220-4213,V2,PINTURA,4213,1220
7,2019-02-14,655190620051,2240-6305,V2,SOLDADURA,6305,2240
8,2019-02-14,655190710009,1010-4130,V2,PINTURA,4130,1010
9,2019-02-25,655190620025,1510-4504,V2,PINTURA,4504,1510
10,2019-02-25,655190620025,2170-4514,V2,PINTURA,4514,2170
11,2019-02-25,655190710019,0011-4015,V2,SOLDADURA,4015,0011
12,2019-02-25,655190710019,0080-6305,V2,SOLDADURA,6305,0080
13,2019-02-26,655190530049,0240-4411,V2,PINTURA,4411,0240
14,2019-02-26,655190530049,4150-5692,V2,MONTAJE,5692,4150
15,2019-02-26,655190530049,1400-4724,V2,PINTURA,4724,1400
16,2019-02-27,655190820043,1510-4502,V2,PINTURA,4502,1510
17,2019-02-27,655190820043,0060-4941,V2,SOLDADURA,4941,0060
18,2019-02-27,655190820043,0060-6306,V2,SOLDADURA,6306,0060
19,2019-02-27,655190820068,1190-4410,V2,PINTURA,4410,1190
20,2019-02-27,655190820068,4961-4415,V2,PINTURA,4415,4961
21,2019-02-28,655190710065,2150-5601,V2,MONTAJE,5601,2150
22,2019-02-28,655190710065,2120-6310,V2,SQF,6310,2120
23,2019-02-28,655190710065,1400-4772,V2,PINTURA,4772,1400
24,2019-02-28,655190750014,0060-6627,V2,SQF,6627,0060
25,2019-02-28,655190750014,0021-4926,V2,SOLDADURA,4926,0021
26,2019-02-28,655190750014,3220-4404,V2,SQF,4404,3220
27,2019-03-01,655190550048,0021-4003,V2,SOLDADURA,4003,0021
28,2019-03-01,655190550048,1190-4334,V2,SOLDADURA,4334,1190
29,2019-03-01,655190550048,2240-6102,V2,DLI,6102,2240
30,2019-03-01,655190550048,1053-4130,V2,PINTURA,4130,1053
31,2019-03-01,655190830002,1270-4415,V1,PINTURA,4415,1270
32,2019-03-01,655190830002,6650-2000,V2,SQF,2000,6650
33,2019-03-11,655190810031,1530-4772,V2,PINTURA,4772,1530
34,2019-03-11,655190910017,2540-4334,V1,MONTAJE,4334,2540
35,2019-03-12,655190910011,1240-4307,V2,PINTURA,4307,1240
36,2019-03-12,655190910011,8311-5612,V2,SQF,5612,8311
37,2019-03-12,655190910011,1400-4514,V2,PINTURA,4514,1400
38,2019-03-12,655190910014,1510-4374,V2,PINTURA,4374,1510
39,2019-03-13,655190920034,1110-4304,V2,PINTURA,4304,1110
40,2019-03-13,655190920034,4150-6305,V2,SOLDADURA,6305,4150
41,2019-03-14,655190810061,8311-5611,V2,SQF,5611,8311
42,2019-03-14,655190920051,0070-5601,V2,SOLDADURA,5601,0070
43,2019-03-14,655190920051,8311-5611,V2,SQF,5611,8311
44,2019-03-14,655190920051,4932-4214,V2,SQF,4214,4932
45,2019-03-15,655190930014,0070-5601,V2,SOLDADURA,5601,0070
46,2019-03-15,655190930014,1450-4412,V2,PINTURA,4412,1450
47,2019-03-15,655191050057,1400-5215,V2,PINTURA,5215,1400
48,2019-03-18,655191030051,4932-4214,V2,SQF,4214,4932
49,2019-03-18,655191030051,1040-4313,V2,PINTURA,4313,1040
50,2019-03-18,655191030051,2241-4418,V2,DLI,4418,2241
51,2019-03-18,655191030075,1410-4213,V2,PINTURA,4213,1410
52,2019-03-18,655191030075,2120-6116,V2,SQF,6116,2120
53,2019-03-18,655191030075,4932-4214,V2,SQF,4214,4932
54,2019-03-18,655191110084,4932-4214,V2,SQF,4214,4932
55,2019-03-18,655191110084,8311-5612,V2,SQF,5612,8311
56,2019-03-19,655191110014,8311-5612,V2,SQF,5612,8311
57,2019-03-19,655191110083,1530-4412,V2,PINTURA,4412,1530
58,2019-03-19,655191110083,8311-5612,V2,SQF,5612,8311
59,2019-03-19,655191110085,2330-6106,V2,MONTAJE,6106,2330
60,2019-03-20,655190550046,1510-4420,V2,PINTURA,4420,1510
61,2019-03-20,655190550046,1090-4514,V2,PINTURA,4514,1090
62,2019-03-20,655191120012,4070-4214,V2,DIVD,4214,4070
63,2019-03-21,655185110025,0070-5601,V2,SOLDADURA,5601,0070
64,2019-03-21,655191040014,1400-4373,V1,MONTAJE,4373,1400
65,2019-03-21,655191040014,1190-4513,V2,PINTURA,4513,1190
66,2019-03-22,655191210065,0031-4927,V2,SOLDADURA,4927,0031
67,2019-03-22,655191310003,1040-4320,V2,PINTURA,4320,1040
68,2019-03-25,655191050016,0210-4210,V2,SOLDADURA,4210,0210
69,2019-03-25,655191210046,1003-4130,V2,PINTURA,4130,1003
70,2019-03-25,655191210046,0021-4222,V2,SOLDADURA,4222,0021
71,2019-03-25,655191210267,4961-4417,V2,PINTURA,4417,4961
72,2019-03-26,655191220208,1180-4514,V2,PINTURA,4514,1180
73,2019-03-26,655191220208,0012-4909,V2,SOLDADURA,4909,0012
74,2019-03-26,655191220208,2120-6116,V2,SQF,6116,2120
75,2019-03-26,655191320261,1080-4513,V2,PINTURA,4513,1080
76,2019-03-26,655191320261,8500-4404,V2,MONTAJE,4404,8500
77,2019-03-27,655191120035,0070-5601,V2,SOLDADURA,5601,0070
78,2019-03-27,655191320253,1510-4773,V2,PINTURA,4773,1510
79,2019-03-27,655191320253,2240-6101,V2,DLI,6101,2240
80,2019-03-27,655191320288,8311-6001,V2,MONTAJE,6001,8311
81,2019-04-10,655190840056,4932-4214,V2,DIVD,4214,4932
82,2019-04-10,655190840056,8311-5611,V2,DIVD,5611,8311
83,2019-04-10,655191210045,1070-4303,V2,PINTURA,4303,1070
84,2019-04-10,655191210045,4070-4214,V2,DIVD,4214,4070
85,2019-04-10,655191510059,8311-5611,V2,DIVD,5611,8311
86,2019-04-10,655191510059,4932-4214,V2,DIVD,4214,4932
87,2019-04-11,655190950031,0060-4936,V2,SOLDADURA,4936,0060
88,2019-04-11,655191510036,1510-4444,V2,PINTURA,4444,1510
89,2019-04-12,655191550050,4040-4420,V2,MONTAJE,4420,4040
90,2019-04-12,655191550050,8311-5611,V2,SQF,5611,8311
91,2019-04-12,655191550050,4150-6306,V2,SOLDADURA,6306,4150
92,2019-04-12,655191640119,6580-3310,V2,MONTAJE,3310,6580
93,2019-04-12,655191640119,4260-5216,V1,MONTAJE,5216,4260
94,2019-04-15,655191450076,1400-4376,V2,PINTURA,4376,1400
95,2019-04-15,655191450076,8311-5611,V2,SQF,5611,8311
